<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240126;095949;195.200000000;10;9468466516;B
20240126;095949;195.200000000;50;9468466517;B
20240126;095949;195.200000000;40;9468466518;B
20240126;095949;195.200000000;100;9468466519;S
20240126;095949;195.200000000;330;9468466520;S
20240126;095949;195.200000000;50;9468466521;B
20240126;095949;195.200000000;10;9468466522;B
20240126;095949;195.200000000;10;9468466523;B
20240126;095949;195.200000000;30;9468466524;B
20240126;095949;195.200000000;70;9468466525;B
20240126;095949;195.200000000;50;9468466526;S
20240126;095949;195.200000000;30;9468466527;S
20240126;095949;195.200000000;20;9468466528;S
20240126;095949;195.200000000;10;9468466529;S
20240126;095949;195.200000000;30;9468466530;S
20240126;095949;195.200000000;20;9468466531;S
20240126;095949;195.200000000;20;9468466532;S
20240126;095949;195.200000000;10;9468466533;S
20240126;095949;195.200000000;90;9468466534;S
20240126;095949;195.200000000;10;9468466535;S
20240126;095949;195.200000000;10;9468466536;S
20240126;095949;195.200000000;20;9468466537;S
20240126;095949;195.200000000;20;9468466538;S
20240126;095949;195.200000000;20;9468466539;S
20240126;095949;195.200000000;20;9468466540;S
20240126;095949;195.200000000;20;9468466541;S
20240126;095949;195.200000000;10;9468466542;S
20240126;095949;195.200000000;10;9468466543;S
20240126;095949;195.200000000;20;9468466544;S
20240126;095949;195.200000000;10;9468466545;S
20240126;095949;195.200000000;160;9468466546;B
20240126;095949;195.200000000;10;9468466547;B
20240126;095949;195.200000000;290;9468466548;B
20240126;095949;195.200000000;150;9468466549;B
20240126;095949;195.200000000;150;9468466550;B
20240126;095949;195.200000000;100;9468466551;B
20240126;095949;195.200000000;100;9468466552;B
20240126;095949;195.200000000;40;9468466553;B
20240126;095949;195.200000000;10;9468466554;S
20240126;095949;195.200000000;10;9468466555;S
20240126;095949;195.200000000;20;9468466556;S
20240126;095949;195.200000000;20;9468466557;S
20240126;095949;195.200000000;20;9468466558;S
20240126;095949;195.200000000;10;9468466559;S
20240126;095949;195.200000000;10;9468466560;S
20240126;095949;195.200000000;20;9468466561;S
20240126;095949;195.200000000;20;9468466562;S
20240126;095949;195.200000000;10;9468466563;S
20240126;095949;195.200000000;10;9468466564;S
20240126;095949;195.200000000;10;9468466565;S
20240126;095949;195.200000000;10;9468466566;S
20240126;095949;195.200000000;10;9468466567;S
20240126;095949;195.200000000;20;9468466568;S
20240126;095949;195.200000000;10;9468466569;S
20240126;095949;195.200000000;20;9468466570;S
20240126;095949;195.200000000;20;9468466571;S
20240126;095949;195.200000000;10;9468466572;S
20240126;095949;195.200000000;10;9468466573;S
20240126;095949;195.200000000;20;9468466574;S
20240126;095949;195.200000000;10;9468466575;S
20240126;095949;195.200000000;10;9468466576;S
20240126;095949;195.200000000;10;9468466577;S
20240126;095949;195.200000000;10;9468466578;S
20240126;095949;195.200000000;20;9468466579;B
20240126;095949;195.200000000;30;9468466580;B
20240126;095949;195.200000000;10;9468466581;B
20240126;095949;195.200000000;20;9468466582;B
20240126;095949;195.200000000;20;9468466583;S
20240126;095949;195.200000000;20;9468466584;S
20240126;095949;195.200000000;20;9468466585;S
20240126;095949;195.200000000;20;9468466586;S
20240126;095949;195.200000000;10;9468466587;S
20240126;095949;195.200000000;10;9468466588;S
20240126;095949;195.200000000;10;9468466589;S
20240126;095949;195.200000000;10;9468466590;S
20240126;095949;195.200000000;10;9468466591;S
20240126;095949;195.200000000;300;9468466592;S
20240126;095949;195.200000000;10;9468466593;B
20240126;100002;195.100000000;10;9468471680;S
20240126;100002;195.100000000;40;9468472441;S
20240126;100002;195.060000000;170;9468472442;S
20240126;100003;195.080000000;80;9468473082;S
20240126;100004;195.100000000;500;9468473375;B
20240126;100005;195.100000000;50;9468474515;B
20240126;100005;195.120000000;10;9468474516;B
20240126;100005;195.160000000;70;9468474519;B
20240126;100005;195.140000000;60;9468474520;B
20240126;100005;195.140000000;70;9468474524;B
20240126;100005;195.040000000;170;9468475208;S
20240126;100005;195.140000000;10;9468475254;B
20240126;100005;195.040000000;10;9468475561;S
20240126;100005;195.040000000;10;9468475562;S
20240126;100005;195.140000000;70;9468475753;B
20240126;100006;195.020000000;10;9468477045;S
20240126;100007;195.140000000;240;9468477567;B
20240126;100017;195.020000000;760;9468481081;S
20240126;100017;195.020000000;740;9468481082;S
20240126;100017;195.020000000;40;9468481183;S
20240126;100017;195.140000000;40;9468481299;B
20240126;100017;195.160000000;20;9468481300;B
20240126;100022;195.020000000;480;9468482433;S
20240126;100022;195.020000000;120;9468482434;S
20240126;100022;195.140000000;30;9468482565;B
20240126;100026;195.000000000;60;9468483474;S
20240126;100026;195.000000000;10;9468483475;S
20240126;100026;195.000000000;30;9468483476;S
20240126;100026;195.140000000;270;9468483546;B
20240126;100026;195.140000000;30;9468483547;B
20240126;100026;195.140000000;150;9468483548;B
20240126;100033;195.020000000;150;9468485396;S
20240126;100033;195.020000000;360;9468485397;S
20240126;100039;195.140000000;20;9468486480;B
20240126;100041;195.000000000;70;9468487052;S
20240126;100041;195.000000000;130;9468487053;S
20240126;100046;195.060000000;10;9468488410;S
20240126;100048;195.060000000;190;9468488761;S
20240126;100048;195.020000000;810;9468488762;S
20240126;100054;195.020000000;10;9468489973;S
20240126;100058;195.020000000;450;9468490764;S
20240126;100058;195.080000000;10;9468490834;B
20240126;100104;195.020000000;10;9468492013;S
20240126;100110;195.020000000;600;9468493172;S
20240126;100114;195.080000000;10;9468493812;B
20240126;100121;195.080000000;30;9468495183;B
20240126;100136;195.080000000;300;9468497694;B
20240126;100140;195.020000000;50;9468498389;S
20240126;100142;195.080000000;10;9468499271;B
20240126;100147;195.080000000;100;9468500191;B
20240126;100147;195.100000000;200;9468500192;B
20240126;100152;195.080000000;100;9468501094;S
20240126;100159;195.100000000;20;9468502545;B
20240126;100159;195.100000000;1000;9468502546;B
20240126;100205;195.120000000;10;9468503536;B
20240126;100218;195.120000000;1270;9468505680;B
20240126;100218;195.120000000;10;9468505681;B
20240126;100221;195.140000000;30;9468506056;B
20240126;100221;195.140000000;100;9468506066;B
20240126;100222;195.140000000;30;9468506121;B
20240126;100222;195.140000000;30;9468506202;B
20240126;100223;195.140000000;10;9468506284;B
20240126;100223;195.140000000;20;9468506285;B
20240126;100223;195.140000000;10;9468506290;B
20240126;100224;195.140000000;20;9468506493;B
20240126;100224;195.140000000;10;9468506494;B
20240126;100225;195.180000000;30;9468506564;B
20240126;100225;195.180000000;30;9468506605;B
20240126;100226;195.180000000;470;9468506680;B
20240126;100226;195.180000000;730;9468506681;B
20240126;100232;195.180000000;550;9468507807;B
20240126;100232;195.200000000;530;9468507808;B
20240126;100232;195.200000000;100;9468507809;B
20240126;100232;195.200000000;10;9468507810;B
20240126;100232;195.200000000;10;9468507811;B
20240126;100237;195.140000000;10;9468508497;B
20240126;100238;195.140000000;10;9468508564;B
20240126;100241;195.120000000;30;9468509022;S
20240126;100245;195.140000000;10;9468509550;B
20240126;100246;195.120000000;60;9468509736;S
20240126;100247;195.120000000;50;9468509943;S
20240126;100249;195.140000000;70;9468510133;B
20240126;100249;195.140000000;10;9468510134;B
20240126;100252;195.120000000;80;9468510509;S
20240126;100252;195.120000000;30;9468510510;S
20240126;100300;195.120000000;400;9468511681;B
20240126;100304;195.100000000;10;9468512272;S
20240126;100306;195.100000000;60;9468512639;S
20240126;100306;195.080000000;500;9468512640;S
20240126;100306;195.040000000;190;9468512641;S
20240126;100306;195.040000000;1070;9468512642;S
20240126;100306;195.020000000;180;9468512643;S
20240126;100310;195.040000000;530;9468513181;S
20240126;100310;195.040000000;500;9468513182;S
20240126;100310;195.040000000;100;9468513183;B
20240126;100311;195.040000000;10;9468513435;B
20240126;100312;195.040000000;10;9468513666;B
20240126;100317;195.020000000;380;9468514499;S
20240126;100321;195.020000000;2000;9468515371;S
20240126;100321;195.020000000;550;9468515372;S
20240126;100323;195.040000000;500;9468515676;B
20240126;100324;195.040000000;10;9468515742;B
20240126;100333;195.040000000;340;9468517912;B
20240126;100333;195.040000000;160;9468517913;B
20240126;100335;195.040000000;20;9468518271;B
20240126;100337;195.020000000;80;9468518581;S
20240126;100340;195.040000000;30;9468520027;B
20240126;100346;195.020000000;10;9468520987;S
20240126;100346;195.020000000;120;9468520988;S
20240126;100350;195.040000000;790;9468521755;B
20240126;100350;195.040000000;1000;9468521756;B
20240126;100350;195.040000000;100;9468521757;B
20240126;100359;195.020000000;70;9468523506;S
20240126;100359;195.020000000;30;9468523507;S
20240126;100402;195.040000000;1000;9468524050;B
20240126;100403;195.040000000;200;9468524165;B
20240126;100406;195.020000000;10;9468524722;S
20240126;100408;195.020000000;10;9468525117;S
20240126;100408;195.020000000;1000;9468525118;S
20240126;100408;195.000000000;170;9468525119;S
20240126;100408;195.000000000;20;9468525120;S
20240126;100408;195.000000000;20;9468525121;S
20240126;100408;195.000000000;20;9468525122;S
20240126;100408;195.000000000;20;9468525123;S
20240126;100408;195.000000000;20;9468525124;S
20240126;100408;195.000000000;20;9468525125;S
20240126;100408;195.000000000;10;9468525126;S
20240126;100408;195.000000000;10;9468525127;S
20240126;100408;195.000000000;10;9468525128;S
20240126;100408;195.000000000;10;9468525129;S
20240126;100408;195.000000000;10;9468525130;S
20240126;100408;195.000000000;10;9468525131;S
20240126;100408;195.000000000;10;9468525132;S
20240126;100408;195.000000000;10;9468525133;S
20240126;100408;195.000000000;20;9468525134;S
20240126;100408;195.000000000;10;9468525135;S
20240126;100408;195.000000000;700;9468525136;S
20240126;100408;195.000000000;10;9468525137;S
20240126;100408;195.000000000;10;9468525138;S
20240126;100408;195.000000000;10;9468525139;S
20240126;100408;195.000000000;1000;9468525140;S
20240126;100408;195.000000000;20;9468525141;S
20240126;100408;195.000000000;30;9468525142;S
20240126;100408;195.000000000;40;9468525143;S
20240126;100408;195.000000000;10;9468525144;S
20240126;100408;195.000000000;200;9468525145;S
20240126;100408;195.000000000;10;9468525146;S
20240126;100408;195.000000000;150;9468525147;S
20240126;100408;195.000000000;350;9468525149;S
20240126;100408;195.000000000;40;9468525150;S
20240126;100408;194.980000000;10;9468525183;S
20240126;100408;194.980000000;10;9468525184;S
20240126;100408;194.980000000;10;9468525185;S
20240126;100409;194.960000000;10;9468525228;S
20240126;100409;194.960000000;20;9468525229;S
20240126;100409;194.960000000;40;9468525230;S
20240126;100409;194.960000000;100;9468525231;S
20240126;100409;194.960000000;200;9468525232;S
